MPCE 021,Counseling Psychology,4 credits,,
Block 1 Introduction,,,,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,,,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.2 Definition of Counseling,,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.2 Definition of Counseling,1.2.1 Counseling and Guidance,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.2 Definition of Counseling,1.2.2 Characteristics of Guidance,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.2 Definition of Counseling,1.2.3 Counseling and Psychotherapy,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.3 Halmark of a Counselor,,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.4 Characteristics of a Counselor,,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.4 Characteristics of a Counselor,1.4.1 Educational Qualities of a Counselor,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.4 Characteristics of a Counselor,1.4.2 Education and Training,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.4 Characteristics of a Counselor,1.4.3 Licensure,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.4 Characteristics of a Counselor,1.4.4 Other Qualifications,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.4 Characteristics of a Counselor,1.4.5 Certification and Advancement,
,Unit 1 Introduction to Counselling and Characteristics of a Counsellor,1.4 Characteristics of a Counselor,1.4.6 Counselor and Values,
,Unit 2 Process of Counselling,,,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.1 Counseling Process,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.2 Steps in Counseling Process,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.3 Stages of Counseling Process,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.4 Counselling Process Followed by Counselors,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.5 Procedure in the Counseling Process,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.6 Developing a Relationship,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.7 Working in a Relationship,
,Unit 2 Process of Counselling,2.2 The Process of Counseling,2.2.8 Terminating a Relationship,
,Unit 2 Process of Counselling,2.3 Factors Influencing Counseling Process,,
