Dec 21,"Differentiate between sensory memory, short-term memory and long-term memory.","memory differentiation"
Dec 21,"Explain the key issues in cognitive psychology with their implications in understanding human behaviour.","key issues in cognitive psychology"
Dec 21,"Describe the different types of emotional blocks which affect problem-solving.","emotional blocks in problem-solving"
Dec 21,"Discuss Newell's approach to problem-solving.","Newell's approach to problem-solving"
Dec 21,"Differentiate between algorithm and heuristic strategies for problem solving.","algorithm vs heuristic strategies for problem solving"
Dec 20,"Explain the levels of processing model by Craik and Lockhart.","levels of processing model"
Dec 20,"Describe the key issues in the study of Cognitive Psychology.","key issues in Cognitive Psychology"
Dec 20,"Explain the cultural blocks of problem solving.","cultural blocks of problem solving"
Dec 20,"Describe Newell's approach to problem solving.","Newell's approach to problem solving"
Dec 20,"Explain speech sound disorders.","speech sound disorders"
Dec 22,"Explain the levels of processing model by Craik and Lockhart.","levels of processing model"
Dec 22,"Describe the principles of information processing.","information processing principles"
Dec 22,"Describe the various types of aphasia.","types of aphasia"
Dec 22,"Discuss the relationship between multilingualism and thinking.","multilingualism and thinking"
Dec 22,"Explain any three techniques of problem-solving.","problem-solving techniques"
Dec 16,"Discuss Newell's approach to problem-solving.","Newell's approach to problem-solving"
Dec 16,"Explain the three storage systems of memory.","memory storage systems"
Dec 16,"Describe Bloom's taxonomy of cognitive domain.","Bloom's taxonomy"
Dec 16,"Explain the various types of aphasia.","types of aphasia"
Dec 16,"Explain the single system versus dual system hypotheses of multilingualism.","single vs dual system hypotheses of multilingualism"
Dec 23,"Describe the three storage systems of memory.","memory storage systems"
Dec 23,"Explain the concept of intelligence quotient (I. Q.). Discuss the contribution of Alfred Binet towards intelligence testing.","intelligence quotient, Alfred Binet"
Dec 23,"Explain the three elements of language expression as given in the analysis by Clark and Clark.","language expression, Clark and Clark analysis"
Dec 23,"Analyse single-system US. dual-system hypotheses of language.","single-system US, dual-system hypotheses, language"
Dec 23,"Describe the stages in creative discoveries.","creative discoveries stages"
Dec 18,"Define aphasia. Differentiate between Broca's aphasia and Wernicke's aphasia.","aphasia"
Dec 18,"Explain Atkinson and Shiffrin's stage model of memory.","memory models"
Dec 18,"Discuss the key issues in the study of cognitive psychology.","cognitive psychology"
Dec 18,"Explain the single-system versus dual-system hypotheses regarding acquisition of second language.","second language acquisition"
Dec 18,"Discuss the strategies of problem solving and point out their advantages and disadvantages.","problem solving strategies"
Dec 19,"Explain the significance of artificial intelligence in problem solving.","artificial intelligence"
Dec 19,"Discuss the strategies of problem solving.","problem solving strategies"
Dec 19,"Discuss the benefits of multilingualism.","multilingualism benefits"
Dec 19,"Describe the stages of language acquisition in children.","language acquisition stages"
